"name","date_of_birth","wage"
"Edan Calderhead","2002-05-16","8508.00"
"Ursuline Fetherston","1970-08-07","8462.00"
"Merry Volkers","2003-03-18","8423.00"
"Katti Fosse","1987-02-23","8358.00"
"Gail Godly","1979-12-02","8336.00"
"Raquela Errowe","1986-10-31","8279.00"
"Marley Vaz","2003-01-31","8261.00"
"Elfrieda Dumelow","2005-08-12","8228.00"
"Adelaide MacGray","1992-04-27","8147.00"
"Demetrius Mallinder","2000-09-14","8134.00"
"Chaunce Cancutt","1996-08-14","8129.00"
"Lacee Polet","1971-01-29","8074.00"
"Abeu Tomasik","1993-01-27","8020.00"
"Aileen Curran","2003-05-27","8000.00"
"Padget Vaughan","1981-11-23","8000.00"
"Ryley Livick","1983-08-23","8000.00"
"Glynn Mearns","1995-12-25","8000.00"
"Ilse McLean","1977-04-10","8000.00"
"Coralyn Lalor","2004-06-05","8000.00"
"Jilly Lytton","1977-04-10","8000.00"
"Hewett Poytress","2004-09-20","8000.00"
"Briggs Edinburough","1981-04-28","8000.00"
"Nikola Popov","2005-10-18","8000.00"
"Siobhan Cawley","1991-07-11","8000.00"
"Ardis Sandeford","1978-01-03","8000.00"
"Chicky MacGovern","2004-03-23","8000.00"
"Lucas Delleschi","1974-11-18","8000.00"
"Augusto Oslar","1995-08-16","8000.00"
"Araldo Lemasney","2003-03-28","8000.00"
"Dorie Ahmed","1997-08-22","8000.00"
"Eula Pues","1972-02-21","8000.00"
"Geneva Harrild","1995-04-20","8000.00"
"Ileane Kadwallider","1988-08-06","8000.00"
"Giovanna MacQuarrie","1996-09-27","8000.00"
"Ainslee MacNulty","1997-01-25","8000.00"
"Desmund Genner","1998-07-03","7994.00"
"Ottilie Carloni","1980-03-23","7960.00"
"Emmerich Kingsnorth","1995-09-04","7943.00"
"Tabor Sabbin","2004-09-03","7935.00"
"Emmit Mapletoft","1981-05-09","7909.00"
"Christy Speedy","2003-11-02","7904.00"
"Sam FitzGeorge","1983-03-20","7902.00"
"Karrie Ewence","1971-07-13","7898.00"
"Harwell Buckett","1989-12-06","7807.00"
"Peyter Dinsmore","1975-05-09","7788.00"
"Brocky Swin","1972-01-16","7786.00"
"Humfried Rowlings","1985-08-26","7690.00"
"Caye Cowing","2004-03-08","7689.00"
"Eduardo Houndsom","1985-08-29","7686.00"
"Julianna Brill","2003-01-25","7678.00"
"Lanae Elce","1973-03-10","7673.00"
"Pieter Gedling","1975-03-23","7597.00"
"Ashleigh Lewtey","1972-09-09","7500.00"
"Lulita Ferrarotti","1999-02-23","7500.00"
"Hirsch Shyram","1988-04-10","7500.00"
"Aundrea Stookes","1996-01-11","7500.00"
"Cacilia Balchin","1987-09-25","7500.00"
"Currie Bavridge","1990-08-06","7500.00"
"Sherlock Balkwill","2005-12-31","7500.00"
"Sid Aron","1972-08-20","7500.00"
"Wallis Newland","2001-06-24","7500.00"
"Derril Kiff","2001-12-16","7500.00"
"Latrena Nickoll","2003-03-04","7500.00"
"Bealle Vinau","1973-10-13","7500.00"
"Dore Kobpac","1973-07-02","7500.00"
"Forrest Vertey","2003-07-27","7500.00"
"Ernestine Terbrug","1992-07-13","7500.00"
"Clywd Joskovitch","1985-05-03","7500.00"
"Cathleen Kilroy","2003-01-26","7500.00"
"Basilius Egel","1987-06-25","7500.00"
"Torrie Dytham","1999-12-06","7500.00"
"Corrie Malby","1994-04-06","7398.00"
"Locke Cranke","1974-01-10","7396.00"
"Louisa Segges","1994-07-28","7360.00"
"Shaughn Rheubottom","1970-11-07","7328.00"
"Cordy Abry","1987-11-26","7324.00"
"Penelope Jewks","1973-11-18","7273.00"
"Pepi Glasser","2002-02-22","7233.00"
"Emmi Egre","1983-12-19","7174.00"
"Hobart Philbin","1992-08-03","7130.00"
"Carce Redhole","2000-05-02","7116.00"
"Shirl Quin","1974-03-16","7034.00"
"Ida Donkersley","1990-12-26","7000.00"
"Jordon Mitchelhill","2003-11-18","7000.00"
"Jolyn Filasov","2004-10-13","7000.00"
"Fields Bristow","1984-06-01","7000.00"
"Tammy Antonikov","1985-03-28","7000.00"
"Celestyna Drabble","1979-07-16","7000.00"
"Yasmin Govett","1990-11-05","7000.00"
"Caddric Seabrook","2006-02-01","7000.00"
"Iormina Possa","1975-12-09","7000.00"
"Dieter Oliphard","1993-01-20","7000.00"
"Nikki Byrch","1994-10-10","7000.00"
"Steffie Swigger","2001-06-22","7000.00"
"Teador Burtonshaw","1975-07-21","7000.00"
"Genia Campbell","1994-09-10","7000.00"
"Vinita Burchell","1974-11-02","7000.00"
"Loren Forsdicke","1993-11-16","7000.00"
"Susy Jobin","2005-08-21","7000.00"
"Norean Stenners","1989-07-26","6978.00"
"Estel Rudyard","2004-12-31","6960.00"
"Brandi Lifton","1994-03-28","6938.00"
"Avictor Furman","1993-12-07","6889.00"
"Godfree Duiguid","1998-10-17","6847.00"
"Lettie Cauldwell","2000-08-01","6844.00"
"Jim Stanfield","1994-01-13","6828.00"
"Stacia Sailor","1986-03-19","6650.00"
"Elwin Teesdale","1982-01-23","6607.00"
"Julie O'Hone","1976-12-09","6568.00"
"Marika Danbrook","1995-07-26","6504.00"
"Cristen Brotheridge","1975-07-05","6462.00"
"Horten Keneforde","1973-02-02","6443.00"
"Gerardo Hardinge","2001-02-21","6436.00"
"Wanids Cabedo","1999-10-30","6409.00"
"Stewart Triplow","1974-04-24","6341.00"
"Melony Tasseler","1996-07-13","6303.00"
"Nappie Knobell","1999-08-20","6224.00"
"Gerome Matthisson","1993-03-23","6160.00"
"Jennilee Pergens","2002-03-30","6133.00"
"Agustin Waszkiewicz","1975-01-07","6133.00"
"Stearne Kloska","1987-03-07","6127.00"
"Desirae Rispen","2003-06-27","6112.00"
"Friederike Dayley","1975-12-27","6086.00"
"Carmelina Frodsam","1979-10-19","6084.00"
"Theresa Ellgood","1999-05-31","6031.00"
"Fayette MacAvddy","1987-09-27","6000.00"
"Lizzie Cottingham","1995-11-29","6000.00"
"Burlie Lattos","1992-06-10","6000.00"
"Jonas Flawn","1983-09-18","6000.00"
"Nanny Carles","1990-11-26","6000.00"
"Kaylee Whitechurch","1980-08-02","6000.00"
"Cobb Skitt","1976-02-20","6000.00"
"Art Jirick","1975-07-21","6000.00"
"Nat Giacobelli","2002-06-11","6000.00"
"Shanna Vannozzii","1980-03-02","6000.00"
"Leodora McKenney","1994-01-03","6000.00"
"Terra Stayte","2001-05-16","6000.00"
"Esteban Reany","1997-09-03","6000.00"
"Floyd Sieghart","1981-06-20","6000.00"
"Merwyn Masser","1987-03-10","1500.00"
"Greta Petrolli","1981-05-08","1500.00"
"Miguela Kleinstern","1991-08-06","1500.00"
"Roxane Joyes","1981-10-04","1500.00"
"Rupert Rawlyns","1992-05-17","1500.00"
"Thomas Ruegg","1977-12-09","1500.00"
"Elicia Mabley","1990-11-24","1500.00"
"Onofredo Titterton","1987-12-22","1500.00"
"Loree Fedder","1997-06-10","1500.00"
"Loralee Kupke","1971-10-20","1500.00"
"Sigfried Laterza","1984-05-09","1500.00"
"Garrott Alexandre","1987-09-02","1500.00"
"Hannah Barensen","1991-09-04","1500.00"
"Arlyn Kestell","1999-01-22","1500.00"
"Saxe Ewing","1978-05-18","1500.00"
"Kyle Lebbon","1995-09-09","1500.00"
"Zebedee Dorricott","1971-05-30","1500.00"
"Demetrius Briton","1994-09-28","1500.00"
"Tarrance Antonik","1971-09-15","1400.00"
"Samuel Midgley","1986-04-05","1400.00"
"Cosetta Cleveland","1987-07-03","1400.00"
"Laurie Geraldo","1986-02-07","1400.00"
"Clark Lochran","1977-07-22","1400.00"
"Brandice Pellington","1971-08-17","1400.00"
"Pierce Gehrts","2001-03-21","1400.00"
"Raff Pawlaczyk","2001-08-04","1400.00"
"Darya Kalinsky","2001-09-24","1400.00"
"Jory Delieu","1994-05-22","1400.00"
"Ciro Kesten","1975-11-27","1400.00"
"Hamel Fothergill","1987-06-24","1400.00"
"Kim Seifenmacher","1998-11-13","1400.00"
"Yovonnda Youthead","2001-09-03","1400.00"
"Cassandre Berridge","1996-01-02","1400.00"
"Melicent Bensusan","1996-12-01","1400.00"
"Mendy Cornelius","1973-12-14","1400.00"
"Adrianne Witherby","1982-02-21","1400.00"
"Lee Cracie","1984-06-23","1000.00"
"Judye Loffhead","1984-06-27","1000.00"
"Ros Bartolic","1975-05-26","1000.00"
"Margarete Goodlip","1978-01-06","1000.00"
"Gunner Gorriessen","2002-09-30","1000.00"
"Rita Sherburn","1987-05-19","1000.00"
"Herbie Athey","1986-12-21","1000.00"
"Shannen Cantua","1988-09-22","1000.00"
"Faye McHan","2004-11-26","1000.00"
"Carlita Pickerill","1972-05-11","1000.00"
"Glad Lukianovich","1998-07-27","1000.00"
"Dell Gaskell","2005-07-05","1000.00"
"Gonzales Swannie","1991-08-08","1000.00"
"Andreas Searles","1995-11-01","1000.00"
"Aviva Dauney","2002-07-07","1000.00"
"Kristin Schultes","1975-04-11","1000.00"
"Conney Farnsworth","1996-11-20","1000.00"
"Krishna Shewon","1979-07-18","1000.00"
"Devin Bercevelo","1979-11-18","1000.00"
"Ingaborg Pooly","1983-04-10","1000.00"
"Davidde Nettle","1977-08-30","1000.00"
"Alana Jensen","1971-03-05","1000.00"
"Joyce Gower","1987-09-05","79.86"
"Cedric Wilmot","1970-05-25","79.86"
"Bruce Graham","1984-11-16","79.31"
"Jesse Guy","1965-12-10","79.08"
"Raphael Gillespie","1974-06-23","78.39"
"Regina Williams","1979-04-22","78.35"
"Robert Litke","1996-10-22","78.23"
"Christy Velez","1966-12-17","78.13"
"Gary Kelley","1964-02-25","78.03"
"Willard Chavez","1959-07-11","77.87"
"Maria Vrablic","1971-02-15","77.83"
"Sheri Kemp","1959-11-28","77.44"
"Trisha Huntley","1960-11-16","77.07"
"James Larson","1968-04-25","76.87"
"Grace Johnson","2001-05-06","76.86"
"Roberta Mcclane","1982-08-28","76.65"
"William Petersen","1995-12-20","76.57"
"Mike Ferro","1984-11-21","76.52"
"Melissa Flynn","1993-11-21","76.22"
"Michael Treston","1985-03-19","75.68"
"Eleanor Prescott","1991-12-10","75.66"
"Vanessa Marks","1969-05-15","75.40"
"Donald Ford","1981-10-20","74.57"
"Peter Watts","1985-08-07","73.95"
"Tamara Dutcher","1967-11-22","73.84"
"Jason Becker","2000-06-20","73.71"
"Donna Donald","1957-12-23","73.07"
"Suzanne Rollinger","1982-12-02","72.88"
"Marian Porras","1992-02-14","72.30"
"Cathy Lamb","1956-10-15","71.75"
"Reynalda Blaze","1957-02-13","71.55"
"Shauna Wilson","1980-11-21","71.52"
"Greg Owens","1958-12-17","71.17"
"Raquel Smith","1969-03-23","70.84"
"Elizabeth Catoe","1997-02-14","70.82"
"Sean Handly","1972-03-03","70.79"
"Judith Hamilton","2003-06-11","70.23"
"Randy Velarde","1987-04-21","70.20"
"John Quinones","1974-03-03","69.97"
"Joseph Ares","1961-06-03","69.43"
"Ann Holmes","1954-02-09","68.16"
"Christopher Adams","2005-07-17","68.09"
"Pat Trejo","1969-07-13","68.03"
"George Flinn","1960-12-06","66.38"
"Dawn Young","2006-06-27","65.93"
"Anne Hanson","2002-05-19","64.82"
"Mary Kyle","2001-06-08","64.43"
"Tammy Mayfield","1974-08-08","63.79"
"Leona Creighton","1988-10-28","63.68"
"Julie Spence","1992-07-24","63.64"
"Robert Laverty","1965-05-11","62.80"
"Francisco Sangi","2002-02-24","62.68"
"Tina Kunkel","1966-08-10","62.53"
"Gregory White","1955-04-28","62.41"
"James Mcdougald","1989-11-09","61.97"
"Lisa Cruz","1973-06-01","61.78"
"Kelly Melson","1993-12-01","61.25"
"Deangelo Perez","1983-08-03","60.77"
"Harry Mohn","2002-04-11","60.73"
"Will Carter","1964-02-04","60.13"
"Scott Dunlap","1959-02-28","59.89"
"Elizabeth Porter","1962-05-26","59.69"
"Gregory Moreno","1978-07-09","59.19"
"Alice Wild","1984-03-11","58.63"
"Mary Benitez","2001-08-12","58.39"
"Jami Boggs","1988-01-21","58.04"
"Jennifer Purnell","1981-01-05","57.89"
"Constance Cimini","1977-11-21","57.79"
"Mariella Dawkins","1984-06-23","56.83"
"Joy Wilson","1957-11-21","56.78"
"Dave Gibson","1982-08-12","56.47"
"Catherine Lambert","1996-10-20","56.44"
"Joshua Haggard","1958-05-06","56.21"
"Mary Summers","1996-08-10","55.77"
"Margaret Hunter","1954-01-20","55.76"
"Cindy Ayers","1988-12-04","55.66"
"Bryce Dominquez","1999-03-18","55.65"
"Allison Boyd","1980-08-20","55.64"
"Arthur Coleman","1971-04-24","55.27"
"David Malone","1980-08-21","55.09"
"Beatrice Hunsicker","1999-04-25","55.00"
"Guillermo Jameson","1967-11-01","54.90"
"Nancy Bane","1965-02-10","53.97"
"Bobby Morales","1994-08-22","53.22"
"Daniel Colwell","1963-08-20","53.15"
"Robert Tucker","2004-10-01","53.08"
"Estelle Allen","1998-01-05","52.75"
"Willie Fuger","1998-10-11","52.50"
"Daniel Looper","2005-06-12","52.43"
"Sarah Birch","1961-05-17","52.36"
"Mary Fletcher","1999-10-15","51.95"
"Briana Lally","1979-08-15","51.63"
"Robert Sullivan","1967-05-05","51.53"
"Delores Schroeder","1969-11-25","51.18"
"Marcella Harvey","2004-06-14","50.67"
"Alan Dowling","2001-01-02","50.27"
"Robert Handel","1998-02-17","49.83"
"Dominique Abernathy","1989-12-05","49.32"
"Frankie Henry","1967-03-26","49.14"
"Steve Sanchez","1957-03-27","49.03"
"Bruce Brown","1970-02-14","46.95"
"Gilbert Lang","1954-02-07","45.93"
"Lois Lucas","1971-04-23","45.85"
"George Chambers","1977-07-28","45.68"
"James Lawrence","1966-04-05","45.47"
"Jamie Isbell","1980-05-02","45.10"
"Robert Buffington","1957-09-17","45.09"
"Dorothy Rivers","1957-08-01","45.06"
"William Hughes","1991-10-05","45.03"
"Lorie Lobue","1998-08-04","44.52"
"Donny Whitmore","1988-09-02","44.31"
"Patricia Osborne","1956-03-03","44.23"
"Dorothy Hicks","1987-09-05","43.04"
"Dorothy Yoon","1984-10-16","42.38"
"Frank Lewis","1992-11-23","42.12"
"Lorena Clemments","2001-09-25","42.03"
"Hattie Peterson","2006-07-18","42.03"
"Judith Clacher","1996-11-23","41.79"
"Scott Dominguez","2000-02-13","41.71"
"Louise Muellerleile","1984-02-13","40.73"
"Lauralee Mcclendon","1961-10-06","40.17"
"Ethel Geralds","1998-03-09","39.64"
"John Collar","1978-02-21","39.19"
"Valerie Dake","1999-09-25","39.00"
"Eunice Sheeley","1984-07-18","38.56"
"Daniel Harris","1966-05-08","38.23"
"John Oneil","1965-07-14","38.23"
"Ronald Jackson","2006-11-11","36.79"
"Brenda Sharpe","1960-07-07","36.67"
"Annie Pennington","1970-03-02","36.43"
"Trudy Magana","2000-02-26","36.13"
"Myrtle Mauer","1986-07-22","36.09"
"Nichole Benet","1974-12-06","36.07"
"Scott Shook","1988-05-20","35.13"
"John Lawrence","1986-11-19","34.55"
"Keith Epperly","1982-10-28","34.19"
"Rita Phelps","1989-11-22","34.06"
"Stephen Ellis","1974-10-02","33.91"
"Numbers Kenon","1990-12-23","33.38"
"Rosalinda Aragon","1977-12-23","33.29"
"Albert Roberts","1994-03-09","33.16"
"Seth Lynch","1974-11-17","33.14"
"Royal Gross","1983-11-12","33.11"
"Hedy Rosenow","1968-05-08","32.56"
"Elizabeth Peebles","1964-01-28","32.53"
"Robert Harrison","1978-12-08","32.53"
"Beau Tolin","2003-04-06","32.19"
"Betty Roberts","1981-12-18","31.92"
"Cheryl Roes","2004-01-12","31.74"
"Stanley Cruz","2001-04-05","31.31"
